# LABEL 検査の据え置き分 (file	ラベル	リンク先title	リンク先パス)。手編集せず
# node tools/checkJaTranslation.js --update-label-baseline で再生成する。
# 減らす方向の再生成のみ可。増える再生成は新規違反の隠蔽なので禁止。
docs/ja/develop/4-4-news-template.md	公式アップデートページ	参加のはじめ方	develop/1-start.md
docs/ja/event/ends/end-35.md	大義分舵が唐門外姓弟子になる	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	大義分舵が解散	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	峨嵋派が武林盟を支援	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	峨嵋派が西武林盟を支援	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	崆峒派が武林盟を支援	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	掌門の牌令を引き継いだ後に罠を設置	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	李富貴が丐幇(新派)を説得	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	樊咲嫣	樊嘯天	people/characters/special4.md
docs/ja/event/ends/end-35.md	金烏上人が死亡	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	錦香宮が西武林盟を支援	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-35.md	飛石幇が西武林盟を支援	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/ends/end-38.md	武林盟主	瑞笙	people/characters/special999.md
docs/ja/event/ends/end-39.md	武林盟主	瑞笙	people/characters/special999.md
docs/ja/event/ends/end-40.md	武林盟主	瑞笙	people/characters/special999.md
docs/ja/event/ends/end-41.md	武林盟主	瑞笙	people/characters/special999.md
docs/ja/event/ends/end-42.md	武林盟主	瑞笙	people/characters/special999.md
docs/ja/event/ends/end-49.md	武林大会	南宮寿宴	event/simple/1-12-1-南宮壽宴.md
docs/ja/event/ends/end-50.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/event/ends/end-50.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/event/ends/end-50.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/event/ends/end-50.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/event/ends/end-8.md	掌門人	唐中翎	people/characters/master.md
docs/ja/event/pursuit/girl2.md	九転輪廻	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	仏学	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	仏学	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	仏学	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	仏学	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	仏学	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	偕老の誓い	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	医術	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	医術	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	医術	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	南宮護心訣	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	同舟剣法	技能効果	system/skill.md
docs/ja/event/pursuit/girl2.md	点破雲関	技能効果	system/skill.md
docs/ja/event/pursuit/girl5.md	【崆峒磨喝楽】	道具一覧	system/items/index.md
docs/ja/event/pursuit/girl5.md	密密縫	鍛冶場・煉丹房開発ロードマップ	system/forge-roadmap.md
docs/ja/event/pursuit/girl5.md	樊嘯天が夏侯蘭に師事する	修練に気が散る	event/simple/2-04-1-練功分心.md
docs/ja/event/pursuit/girl5.md	樊嘯天が夏侯蘭に師事する	修練に気が散る	event/simple/2-04-1-練功分心.md
docs/ja/event/pursuit/girl5.md	樊嘯天が夏侯蘭に師事する	修練に気が散る	event/simple/2-04-1-練功分心.md
docs/ja/event/pursuit/girl5.md	玄黄納心綱	技能効果	system/skill.md
docs/ja/event/pursuit/girl5.md	菊花酒	雪山の約束	event/simple/3-07-2-雪山之約.md
docs/ja/event/pursuit/girl8.md	《鶏もも大尽》	汗青書44：鶏もも大尽	event/ends/end-44.md
docs/ja/event/simple/1-06-1-變心夢.md	夏侯蘭の回憶	夏侯蘭の思い出	event/simple/3-06-3-夏侯蘭的回憶.md
docs/ja/event/simple/1-09-2-初識福韞.md	言い争いイベント	丐幇と嵩山の喧嘩	event/simple/1-08-3-丐幫與嵩山打架.md
docs/ja/event/simple/3-09-1-赴武林大會.md	嵩山老和尚	覚醒	people/characters/monk2.md
docs/ja/event/simple/3-09-1-赴武林大會.md	武林大会	武林大会編	event/detailed_description/3-08-2-武林大會.md
docs/ja/event/simple/3-11-1-清醒夢.md	金烏上人との対決	金烏との決闘	event/simple/3-05-1-對決金烏.md
docs/ja/event/stories/江陵府官道劫糧案.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/event/stories/決戰極樂教.md	左護法	李元棄	people/characters/special213.md
docs/ja/event/stories/決戰極樂教.md	左護法	李元棄	people/characters/special213.md
docs/ja/event/stories/決戰極樂教.md	師妹	唐鹿	people/characters/other10.md
docs/ja/event/stories/決戰極樂教.md	快活王	李仁友	people/characters/other7.md
docs/ja/event/stories/決戰極樂教.md	翼王	完顔珣	people/characters/special819.md
docs/ja/event/stories/白風峒變亂.md	奪魄幽蘭	夏侯蘭	people/characters/girl5.md
docs/ja/event/stories/白風峒變亂.md	風神	解無塵	people/characters/special808.md
docs/ja/event/stories/白風峒變亂.md	飛俠	唐布衣	people/characters/brother1.md
docs/ja/event/story-simple-table.md	二師兄唐錚との初対面	唐錚との初対面	event/simple/1-04-1-初識唐錚.md
docs/ja/event/story-simple-table.md	四師兄唐惟元との初対面	唐惟元との初対面	event/simple/1-04-1-初識唐惟元.md
docs/ja/event/story-simple-table.md	大師兄唐布衣との初対面	唐布衣との初対面	event/simple/1-04-1-初識唐布衣.md
docs/ja/event/story-simple-table.md	崆峒への留学	崆峒派への留学	event/simple/2-03-1-崆峒留學.md
docs/ja/other/guide/mechanism/contribution.md	初次唐門例会	貢献度について	other/guide/mechanism/contribution.md
docs/ja/other/guide/mechanism/contribution.md	貢献評点	貢献度について	other/guide/mechanism/contribution.md
docs/ja/other/qna/index.md	問答集2024年10月	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/other/qna/index.md	問答集2024年11月	鳥熊 Q&A 集 2024年11月	other/qna/202411.md
docs/ja/other/qna/index.md	問答集2024年8月	鳥熊 Q&A 集 2024年8月	other/qna/202408.md
docs/ja/other/qna/index.md	問答集2024年9月	鳥熊 Q&A 集 2024年9月	other/qna/202409.md
docs/ja/people/characters/brother1.md	白風峒変亂	白風峒変乱	event/stories/白風峒變亂.md
docs/ja/people/characters/brother2.md	三師兄	唐陞	people/characters/brother3.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother2.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/brother2.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/brother2.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/brother2.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/brother2.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/brother2.md	華仙児	画中仙	people/characters/special813.md
docs/ja/people/characters/brother3.md	四師兄	唐惟元	people/characters/brother4.md
docs/ja/people/characters/brother3.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother4.md	問答集2024-08-18	鳥熊 Q&A 集 2024年8月	other/qna/202408.md
docs/ja/people/characters/brother4.md	問答集2024-10-08	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
