# LABEL 検査の据え置き分 (file	ラベル	リンク先title	リンク先パス)。手編集せず
# node tools/checkJaTranslation.js --update-label-baseline で再生成する。
# 減らす方向の再生成のみ可。増える再生成は新規違反の隠蔽なので禁止。
docs/ja/develop/4-4-news-template.md	公式アップデートページ	参加のはじめ方	develop/1-start.md
docs/ja/people/characters/special826.md	広州唐門	唐守鴻	people/characters/special812.md
docs/ja/people/characters/special830.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special832.md	唐仙児	画中仙	people/characters/special813.md
docs/ja/people/characters/special833.md	亡き先代掌門の娘	南渓	people/characters/special829.md
docs/ja/people/characters/special833.md	亡き先代掌門の娘	南渓	people/characters/special829.md
docs/ja/people/characters/special833.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special833.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/people/characters/special833.md	枯栄神功	枯栄神功上卷	system/books/book_7017.md
docs/ja/people/characters/special833.md	青城	青城派	people/factions/qing-cheng-sect.md
docs/ja/people/characters/special999.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/characters/trainee204.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/characters/trainee204.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/characters/trainee224.md	道法將軍	丹霞子	people/characters/special404.md
docs/ja/people/characters/trainee234.md	魏掌門	魏菊	people/characters/girl7.md
docs/ja/people/factions/apricot-forest.md	丘真人	丘處機	people/characters/special209.md
docs/ja/people/factions/apricot-forest.md	南宮老太爺	南宮橫	people/characters/special104.md
docs/ja/people/factions/apricot-forest.md	無念僧	無相祖師	people/characters/special212_2.md
docs/ja/people/factions/apricot-forest.md	牛長寿	江陵府官道の穀物奪取事件	event/stories/江陵府官道劫糧案.md
docs/ja/people/factions/beggar-gang.md	南宮家主	南宮遠	people/characters/special101.md
docs/ja/people/factions/beggar-gang.md	李幇主	李富貴	people/characters/special809.md
docs/ja/people/factions/beggar-gang.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/factions/beggar-gang.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/factions/beggar-gang.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/factions/beggar-gang.md	畜生道法王	泥教	people/factions/mud-school.md
docs/ja/people/factions/dian-cang-sect.md	唐門掌門	唐中翎	people/characters/master.md
docs/ja/people/factions/dian-cang-sect.md	極楽教との一戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/factions/dian-cang-sect.md	極楽教主	李仁友	people/characters/other7.md
docs/ja/people/factions/dian-cang-sect.md	点蒼剣聖	無名	people/characters/special406.md
docs/ja/people/factions/dian-cang-sect.md	第四式	雲裳剣法	system/books/book_2302.md
docs/ja/people/factions/dian-cang-sect.md	蒼松剣客	葉雲舟	people/characters/special3.md
docs/ja/people/factions/elysium-school.md	崆峒	崆峒派	people/factions/kong-tong-sect.md
docs/ja/people/factions/elysium-school.md	左使	李元棄	people/characters/special213.md
docs/ja/people/factions/elysium-school.md	左護法	李元棄	people/characters/special213.md
docs/ja/people/factions/elysium-school.md	教主	申屠龍	people/characters/special405.md
docs/ja/people/factions/elysium-school.md	極楽左使	李元棄	people/characters/special213.md
docs/ja/people/factions/emei-sect.md	狄傲	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/factions/index.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/factions/jin-dynasty.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/factions/jin-dynasty.md	極楽教との決戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/factions/jin-dynasty.md	陳序	花城四少	people/characters/group1.md
docs/ja/people/factions/jin-xiang-palace.md	上官家	上官世家	people/factions/shang-guan-family.md
docs/ja/people/factions/jin-xiang-palace.md	南宮の一族	南宮世家	people/factions/nan-gong-family.md
docs/ja/people/factions/jin-xiang-palace.md	南宮家主	南宮遠	people/characters/special101.md
docs/ja/people/factions/jin-xiang-palace.md	宮主	温夫人	people/characters/special402.md
docs/ja/people/factions/jin-xiang-palace.md	華仙児	画中仙	people/characters/special813.md
docs/ja/people/factions/jin-xiang-palace.md	飛俠	唐布衣	people/characters/brother1.md
docs/ja/people/factions/mount-snow-sect.md	上官家主	上官隼	people/characters/special407.md
docs/ja/people/factions/mount-snow-sect.md	夏侯梅	夏侯蘭	people/characters/girl5.md
docs/ja/people/factions/mount-song-sect.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/factions/mount-song-sect.md	石幇主	石公遠	people/characters/special7.md
docs/ja/people/factions/mud-school.md	上官家	上官世家	people/factions/shang-guan-family.md
docs/ja/people/factions/mud-school.md	唐老魔	唐中翎	people/characters/master.md
docs/ja/people/factions/mud-school.md	天王座	車軒轅	people/characters/special409.md
docs/ja/people/factions/mud-school.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/people/factions/qing-cheng-sect.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/factions/qing-cheng-sect.md	旧魔教との頂上決戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/factions/qing-cheng-sect.md	極楽左使	李元棄	people/characters/special213.md
docs/ja/people/factions/shang-guan-family.md	極楽教主	李仁友	people/characters/other7.md
docs/ja/people/factions/shang-guan-family.md	浪を逐う訣	逐浪訣	system/books/book_7014.md
docs/ja/people/factions/shang-guan-family.md	浪を逐う訣	逐浪訣	system/books/book_7014.md
docs/ja/people/factions/tang-men.md	問答集2024-10-25	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/factions/tang-men.md	大宋皇帝	趙擴	people/characters/special817.md
docs/ja/people/factions/tang-men.md	師娘	唐鹿	people/characters/other10.md
docs/ja/people/factions/tang-men.md	師娘	唐鹿	people/characters/other10.md
docs/ja/people/factions/tang-men.md	師娘	唐鹿	people/characters/other10.md
docs/ja/people/factions/tang-men.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/factions/tang-men.md	点蒼剣聖	無名	people/characters/special406.md
docs/ja/people/factions/tang-men.md	登雲踏·望月	登雲踏・望月	system/books/book_6008.md
docs/ja/people/factions/tang-men.md	石幇主	石公遠	people/characters/special7.md
docs/ja/people/factions/thousand-lantern-tower.md	問答集2024-10月-19	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/factions/thousand-lantern-tower.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/factions/thousand-lantern-tower.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/factions/thousand-lantern-tower.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/people/factions/thousand-lantern-tower.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/people/mobs/index.md	江湖の人々：その他キャラ	江湖の人々：その他のキャラクター	people/mobs/other.md
docs/ja/people/mobs/index.md	江湖の人々：江湖人士	江湖の人々	people/mobs/artists.md
docs/ja/system/books/book_2007.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/system/books/book_2007.md	狄傲	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/system/books/book_4005.md	嵩山老和尚	覚醒	people/characters/monk2.md
docs/ja/system/books/book_4006.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/system/books/book_7013.md	方少俠	方震天	people/characters/other16.md
docs/ja/system/books/book_7017.md	南蝥礜石散	煉丹効果	system/pills.md
docs/ja/system/books/book_7017.md	穿心龍膽湯	煉丹効果	system/pills.md
docs/ja/system/books/book_8108.md	四師兄	唐惟元	people/characters/brother4.md
docs/ja/system/books/book_8108.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/system/books/book_8108.md	掌門	唐中翎	people/characters/master.md
docs/ja/system/books/book_8109.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/system/books/index.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/system/meeting.md	唐門の訓練	養成コマンド	system/training/index.md
